english,chinese,category
void,α. 无效的,六级
triumph,n. 胜利；成功,四级
volunteer,n. 志愿者; v. 自愿（做）,四级
casual,a. 偶然的；碰巧的；临时的；非正式的,四级
decay,vi. 腐烂；腐朽,四级
electrical,adj.电的； 有关电的,雅思
blame,n. 责任,六级
accomplish,vt .完成；到达；实行,四级
revise,v. 修订；修改,雅思
radiation,n. 放射物；辐射,四级
limitation,n. 局限性；缺点,六级
loyalty,n. 忠诚；忠心,六级
electrical,adj.电的； 有关电的,雅思
subway,n. 地铁,四级
preliminary,adj. 初步的；预备的,雅思
revenue,n. 税收；岁入,六级
oblige,v. 迫使；责成；使感激,四级
detail,n.细节； 详情 vt.详述,雅思
universal,a. 普遍的；通用的；宇宙的,四级
startlingly,ad. 惊人地,六级
participation,n. 参加；加入,六级
versatile,α. 多才多艺的,六级
oppose,v. 反对；抵制,雅思
capability,n. 能力；才能,六级
impact,n. 影响；作用,雅思
expire,v. 到期；期满,六级
wagon,n. 四轮马车；铁路货车,四级
restrict,v. 限制；约束,雅思
authorize,v. 授权；批准,雅思
triumphantly,ad. (欣喜)胜利地；成功地,六级
explore,v. 探险；探索,六级
secure,a. 安全的；可靠的,四级
dash,vi. 猛冲；飞奔,四级
coil,n. 线圈 v. 卷；盘绕,四级
advance,n.前进； 提升； 预付款 v.前进； 提前 adj. 预先的；预付(款项),雅思
identical,α. 相同的；一样的,六级
potential,α. 可能的；潜在的,六级
relevant,α. 与……有关的,六级
intend,v. 意欲,六级
substitute,v. 代替；替换,雅思
severe,a. 严重的,四级
transmit,v. 传播；播送；传递,四级
facility,n. [pl.] 设备；设施；便利；方便,四级
initially,adv.最初； 开头,雅思
simplify,v. 简化,雅思
indigenous,adj.本土的,雅思
territory,n. 领土,四级
shrink,vi. 起皱；收缩；退缩,四级
admiration,n. 欣赏,六级
predecessor,n. 前任；原有的事物,六级
achieve,vt.完成； 达到,雅思
duration,n. 持续时间,雅思
resistant,a. (to)抵抗的；抗...的；耐...的,四级
inevitably,ad. 必然地；不可避免地,六级
external,a. 外部的；外表的；外面的,四级
ornament,n. 装饰；装饰品,六级
virtual,adj.实质的；实际上的,雅思
sustain,v. 维持；支撑,雅思
hoist,v. 举起；升起；吊起,六级
bunch,n. 群；伙；束；串,四级
aspect,n. 方面；朝向；面貌,四级
episode,n. 插曲；片段,四级
smash,n. 打碎；粉碎,六级
ruin,v. 毁坏；破坏 n. 毁灭；[pl.]废墟,四级
provision,n.供应； (一批)供应品； 预备； 规定,雅思
venture,n. 风险投资；风险项目; v. 冒险；取于,四级
startlingly,ad. 惊人地,六级
aim,n.目标； 瞄准 v.对...瞄准； 打算,雅思
pathetic,α. 悲哀的；悲惨的,六级
principal,a. 最重要的; n. 负责人；校长,四级
maintain,vt. 维持；保持；坚持；主张,四级
commentary,α. 实况报道,六级
benefit,n. 益处；好处,雅思
calendar,n. 日历；月历,四级
drain,v. 渐渐耗尽,六级
loyalty,n. 忠诚；忠心,六级
enhance,v. 提高,六级
distress,n. 痛苦；悲伤; vt. 使痛苦,四级
preside,v. 主持,六级
potential,α. 可能的；潜在的,六级
spill,v. 溢出；溅出；倒出,四级
restraint,n. 抑制；限制,四级
allege,v. 断言；宣称,六级
gaze,v. 凝视；注视,六级
neglect,v. 忽视；疏忽,雅思
weave,v. 织；编,四级
defend,v. 为……辩护,六级
algebra,n. 代数,四级
magnify,v. 放大,六级
notorious,α. 臭名昭著的；声名狼藉的,六级
absolute,a. 绝对的；无条件的；完全的,四级
authority,n. 权威；当局,四级
comparative,a. 比较的；相对的,四级
reservation,n. 贮存；贮藏,六级
supervise,v. 监督；管理,雅思
wealthy,a. 富裕的,四级
swallow,v. 吞下；咽下 n. 燕子,四级
enthusiasm,n. 热情；热心,四级
afford,v. 付得起,六级
substitute,v. 代替；替换,雅思
shortage,n. 短缺；不足,六级
undergo,v. 经历；遭受,四级
sheer,α. 完全的；十足的,六级
outwardly,ad. 表面上；外表上地,六级
deliberately,ad. 故意；有意地,六级
exclaim,v. 呼喊；欢呼,六级
opponent,n. 敌人；对手,六级
auxiliary,a. 辅助的；备用的,四级
persistent,α. 坚持不懈的,六级
overwhelm,v. 压倒；浸没；使不安,六级
overcome,v. 克服；战胜,雅思
barren,α.贫瘠的；不毛的,六级
slide,v. 滑动；滑落 n. 滑动；滑面；幻灯片,四级
resume,v. 重新开始；继续,六级
moral,a. 道德上的；有道德的,四级
alternate,v. 交替；轮流,六级
valid,a. 有效的；有根据的；正当的,四级
enhance,v. 提高；增加,六级
recession,n. (经济)衰退；不景气；撤退；退出,六级
hospitality,n. 友好款待；好客,六级
ban,vt. 取缔；禁止,四级
simultaneously,ad. 同时发生地,六级
revenge,v. 报仇；报复,六级
biology,n. 生物学,四级
explore,v. 探险；探索,六级
the Pacific Ocean,太平洋,四级
optics,n. （单、复数同形）光学,四级
alternate,v. 交替；轮流,六级
offend,v. 冒犯；触犯,四级
infectious,α. 传染的；传染性的,六级
register,v./n. 登记；注册,四级
satellite,n. 卫星,四级
assurance,n. 保证,六级
opportunity,n. 机会；时机,四级
bargain,n. 便宜货 vi. 讨价还价,四级
lava,n.熔岩； 火山岩,雅思
monitor,v. 检测；监测,六级
imaginative,α. 富有想象力的；爱想象的,六级
correlate,v. 使相关；联系,雅思
tackle,v. 解决；处理,六级
tendency,n.趋向；趋势,四级
deny,v. 否认,六级
comment,n./vt. 评论,四级
yield,vi. (to) 屈服于；让出；放弃; n. 产量,四级
professional,a. 职业的；专门的,四级
geography,n. 地理（学）,四级
mature,a. 成熟的,四级
reveal,v. 揭示；透露,雅思
stuff,n. 原料；材料; vt. 填进；塞满,四级
data,n. 数据；资料,四级
version,n. 版本；译本；说法,四级
appreciation,n. 感谢；感激,六级
candidate,n. 候选人,四级
outwardly,ad. 表面上；外表上地,六级
foundation,n.基础； 建立； 基金,雅思
wreck,v. (船只)失事,六级
arise,vi. 产生；出现；发生；起身,四级
primitive,α. 原始的；早期的,六级
deserve,vt. 应受；应得；值得,四级
virtually,adv.事实上,雅思
consistent,α. 和……一致,六级
anticipation,n. 预期；期望,六级
afford,v. 付得起,六级
assess,v. 评估；评定,雅思
region,n. 地区；范围；幅度,四级
vast,adj. 辽阔的； 大量的,雅思
gloomy,α. 暗淡的,六级
comply,v. 遵守,六级
tidy,a. 整洁的；整齐的,四级
conserve,v. 保护；保存,六级
hospitality,n. 友好款待；好客,六级
formulate,v. 制定；构想,雅思
energetic,α. 精力充沛的,六级
involve,v. 涉及；包含,雅思
neglect,v. 忽视,六级
deter,v. 威慑；阻止,雅思
debt,n. 欠债,四级
radiate,v. 辐射状发出；从中心向各方伸展出,六级
equipment,n.设备,雅思
acknowledge,v. 承认；致谢,四级
rely,v. 依赖；依靠,雅思
ingredient,n. 成分,六级
release,vt./n. 释放；排放；解释解脱,四级
sorrow,n. 悲哀；悲痛,四级
attribute,v. 归因于,六级
satellite,n. 卫星,四级
collect,v.收集；集中,雅思
conspicuous,α. 显而易见的；引人注目的,六级
the Arctic Ocean,北冰洋,四级
rely,v. 依赖；依靠,雅思
overwhelm,v. 压倒；浸没；使不安,六级
furnish,v. 配备；装饰,六级
naval,a. 海军的,四级
repel,v. 抗御；抵拒,六级
electron,n.电子,雅思
inferior,α. 地位较低的；较差的,六级
accommodate,v. 容纳；适应,雅思
revenue,n. 税收；岁入,六级
enclose,vt. 围住；把...装入信封,四级
relevant,α. 与……有关的,六级
decent,a. 像样的；体面的,四级
inadequate,α. 不充分的；不适当的,六级
wander,vi. 漫游；闲逛,四级
tend,vi.易于；趋向,四级
cash,n. 现金,六级
humble,a. 谦逊的；谦虚的,四级
stale,a. 不新鲜的；陈腐的,四级
pastime,n. 消遣；娱乐,六级
the Pacific Ocean,太平洋,四级
preservation,n. 保护；防护,六级
petrol,n. 汽油,四级
expel,v. 驱逐；开除；赶出,四级
interpret,v. 解释；翻译,雅思
triumphantly,ad. (欣喜)胜利地；成功地,六级
vary,v. 变化；不同,雅思
preserve,v. 保护；保存；保持；维持,四级
focus,v. （使）聚集 n. 焦点；中心；聚焦,四级
neglect,v. 忽视；疏忽,雅思
deliberately,ad. 深思熟虑地；审慎地,六级
somewhat,ad. 颇为；稍稍；有几分,六级
manipulate,v. 操控；操作,雅思
feasible,α. 可行的,六级
clarify,v. 澄清；阐明,雅思
sponsor,n. 发起者；主办者; vt. 发起；主办；资助,四级
advertise,v. 为...做广告,四级
justify,v. 证明……是正当的；为……辩护,雅思
deserve,vt. 应受；应得；值得,四级
export,n. 出口（物） v. 出口；输出,四级
academy,n. （高等）专科院校；学会,四级
naive,α. 言行自然而天真的；质朴的,六级
distinction,n. 区分；辨别,六级
tender,a. 温柔的；脆弱的,四级
debate,n. 争论；辩论,六级
increasingly,ad. 日益；越来越多地,六级
reinforce,v. 加强；强化,雅思
adjust,v. 调整；调节,四级
provision,n.供应； (一批)供应品； 预备； 规定,雅思
stability,n. 稳定(性)；稳固,六级
ascend,v. 上升；攀登,六级
resistant,a. (to)抵抗的；抗...的；耐...的,四级
morality,n. 道德；美德,六级
transmit,v. 传播；传递,六级
videotape,n. 录像磁带 v. 把...录在录像带上,四级
monitor,v. 监控；监测,雅思
feature,n.特征； 容貌 vt.是...特色,雅思
bacteria,n. 细菌,四级
nevertheless,ad. 仍然；然而；不过,四级
territory,n. 领土,四级
comparative,a. 比较的；相对的,四级
significance,n. 意义；重要性,四级
indicate,vt. 指示； 象征,雅思
oblige,v. 迫使；责成；使感激,四级
impose,v. 强加；施加,雅思
appreciate,vt. 重视；赏识；欣赏,四级
fashion,n. 方式；样子,六级
expand,v. 扩大；扩张；展开；膨胀,四级
feed,n.饲料； (动物或婴儿的)一餐 vt.喂养； 靠...为生,雅思
provoke,v. 引起；激起,六级
derive,v. 得到；源自,雅思
religious,a. 宗教的,四级
petroleum,n. 石油,四级
explore,v. 探险；探索,六级
subtle,α. 微妙的；精巧的；细微的,六级
greasy,α. 油腻的,六级
transition,n. 过渡；转变,六级
commitment,n. 承诺；许诺,六级
ration,n. 比率,六级
prescription,n. 处方,六级
attract,v. 吸引；引起,雅思
intuition,n. 直觉,六级
vivid,α. 生动的；栩栩如生的,六级
yield,vi. (to) 屈服于；让出；放弃; n. 产量,四级
assurance,n. 保证,六级
pastime,n. 消遣；娱乐,六级
participation,n. 参加；加入,六级
commentary,α. 实况报道,六级
radical,a.根本的；激进的,四级
adopt,v. 收养；采用；采纳,四级
respectable,α. 可尊敬的,六级
exclaim,v. 呼喊；欢呼,六级
prevalent,α. 普遍的；流行的,六级
initially,adv.最初； 开头,雅思
derive,v. 得来；得到,六级
conservative,α. 保守的；传统的,六级
substitute,v. 代替；替换,雅思
suffer,vt.遭受； 忍受 vi.受痛苦； 受损害,雅思
routine,n. 常规；惯例；例行公事,六级
deny,v. 否认,六级
suspicious,a. 怀疑的；可疑的,四级
amplify,v. 放大；增强,雅思
mixture,n. 混合；混合物,四级
suspicion,n. 怀疑；疑心,四级
provoke,v. 引起；激起,六级
enhance,v. 提高,六级
export,n. 出口（物） v. 出口；输出,四级
principle,n. 原则；原理,四级
accumulate,v. 积累；积聚,雅思
coincide,v. 相同；相一致,六级
neglect,v. 忽视,六级
explosive,a. 爆炸的；极易引起争论的,四级
gear,v. 使适应；使适合,六级
convince,v. 说服；使信服,雅思
torture,n./vt. 拷打；折磨,四级
appreciation,n. 感谢；感激,六级
defy,v. 违抗；藐视,六级
grand,a. 宏伟大；壮丽的；重大的,四级
rough,α. 粗略的；不精确的,六级
propel,v. 推进；推动,六级
radiation,n. 放射物；辐射,四级
expense,n. 开销；费用,四级
liberal,a. 慷慨的；丰富的；自由的,四级
stack,n. 堆；一堆,六级
indigenous,adj.本土的,雅思
excess,n. 过分；过量；过剩,四级
bundle,n. 捆；包；束; vt. 收集；归拢,四级
tackle,v. 解决；处理,六级
anticipation,n. 预期；期望,六级
attract,v. 吸引；引起,雅思
explosive,a. 爆炸的；极易引起争论的,四级
acknowledgement,n. 承认；感谢；致谢,六级
vague,a. 模糊的；不明确的,四级
temple,n. 庙宇,四级
hinder,v. 阻碍；妨碍,雅思
illegal,a. 不合法的；非法的,四级
likelihood,n. 可能；可能性,四级
calibrate,v. 校准；调整,雅思
bundle,n. 捆；包；束; vt. 收集；归拢,四级
locate,v. 位于,六级
advance,n.前进； 提升； 预付款 v.前进； 提前 adj. 预先的；预付(款项),雅思
average,α.一般的；普通的,六级
prestige,n. 威信；威望,六级
advantageous,adj.有利的,雅思
column,n. 柱；圆柱；栏；专栏,四级
ultimate,a. 极端的；最大的；最终的 n. 极端,四级
extent,n. 程度；范围；大小；限度,四级
conspicuous,α. 显而易见的；引人注目的,六级
offend,v. 冒犯；触犯,四级
bother,v. 打搅；麻烦,四级
ceremony,n. 典礼；仪式,四级
conform,v. 符合；遵守；适应,六级
racial,a. 人种的种族的,四级
cope,vi. (with)（成功地）应付；处理,四级
spontaneously,ad. 自发地；自然产生地,六级
overlap,v. 部分重叠,六级
register,v./n. 登记；注册,四级
melt,v.(使)融化； (使)熔化； 使感动,雅思
abundant,α.丰富的,六级
appreciate,v. 感激；欣赏,雅思
variable,a. 易变的；可变的,四级
impose,v. 把……强加于,六级
tiny,adj.很少的； 微小的,雅思
debate,n. 争论；辩论,六级
contribute,v. 贡献；捐助,雅思
informant,n.通知的人；被调查的人,雅思
code,n. 准则；法规；密码,四级
originate,v. 首创；起源,六级
clarify,v. 澄清；阐明,雅思
cling,v. 坚守；抱紧,六级
explore,v. 探险；探索,六级
vacant,a. 空的；未占用的,四级
rival,n. 竞争对手,六级
offend,v. 冒犯；触犯,四级
compact,α.紧凑的；小巧的,六级
influence,n. 影响；作用,雅思
acute,α.敏锐的；锋利的,六级
chronic,adj. 慢性的；长期的,雅思
feeding,n.吃； 输送 adj.给食的； 饲用的,雅思
endure,v. 忍受；忍耐,六级
orchestra,n. 管弦乐队,四级
inaccessible,α. 不可接近的；难以达到的,六级
evoke,v. 引起；唤起,六级
slope,n. 斜坡；斜面,四级
enhance,v. 提高,六级
incredible,α. 难以置信的,六级
overcome,v. 克服；战胜,雅思
inevitable,a. 不可避免的,四级
elegant,α. 优雅的；优美的；精致的,六级
conservative,α. 保守的；传统的,六级
dispose,vi. 除掉；处置；解决；处理(of),四级
boast,v. 自夸；吹嘘,雅思
scale,n. 大小；规模；等级；刻度,四级
appeal,v. 呼吁；吸引,雅思
debate,n./v. 辩论；争论,四级
fatal,a. 致命的；重大的,四级
resume,v. 重新开始；继续,六级
gear,v. 使适应；使适合,六级
superficial,α. 肤浅的,六级
collective,adj.集体的 n.集体,雅思
cite,v. 引用；提到,雅思
ascribe,v. 归因于；归功于,六级
promote,v. 促进；提升,雅思
strategic,a. 战略（上）的；关键的,四级
inspire,v. 激励；启发,雅思
advance,n.前进； 提升； 预付款 v.前进； 提前 adj. 预先的；预付(款项),雅思
bewilder,v. 迷惑；弄糊涂,六级
global,a. 全球的；总的,四级
coarse,a. 粗的；粗糙的；粗劣的,四级
originate,v. 首创；起源,六级
reinforce,v. 加强；强化,雅思
consistent,α. 和……一致,六级
opportunity,n. 机会；时机,四级
alternate,v. 交替；轮流,六级
oxygen,n.氧,雅思
humor,n. 情绪；心境,六级
grant,vt. 授予；同意；准予,四级
simplify,vt. 简化,四级
temptation,n. 诱惑；引诱,四级
eternal,α. 永恒的；无休止的,六级
ultimate,a. 极端的；最大的；最终的 n. 极端,四级
abandon,v. 放弃；遗弃,雅思
expire,v. 到期；期满,六级
virtual,a. 实际上的；事实上的,四级
enroll,v. 使成为……的成员；注册,六级
commentary,α. 实况报道,六级
indifference,n. 不关心；冷漠,六级
commit,vt. 犯（错误；罪行等）；干（坏事等）,四级
individual,a. 个别的；单独的 n. 个人；个体,四级
exclaim,v. 呼喊；欢呼,六级
fact,n.事实；论据,雅思
shrewd,α. 精明的,六级
triumphantly,ad. (欣喜)胜利地；成功地,六级
twist,vt. 使缠绕；转动；扭歪,四级
ban,vt. 取缔；禁止,四级
bound,α.一定的,六级
alternate,v. 交替；轮流,六级
justify,v. 证明……是正当的；为……辩护,雅思
predecessor,n. 前任；原有的事物,六级
personality,n. 人格；人性,六级
coarse,a. 粗的；粗糙的；粗劣的,四级
simplify,vt. 简化,四级
semiconductor,n. 半导体,四级
calculate,vt. 计算；核算,四级
appropriate,α.合适的；恰当的,六级
talent,n. 才能；天资；人才,四级
conflict,v. 冲突；战争,六级
complement,v. 与……结合；补充,六级
remarkable,a. 值得注意的；异常的；非凡的,四级
continuous,a. 继续的；连续（不断）的,四级
petroleum,n. 石油,四级
consume,v. 消耗；耗尽,四级
overwhelm,v. 压倒；浸没；使不安,六级
instinct,n. 本能；直觉,六级
fundamental,adj. 基本的；根本的,雅思
extinct,α. 灭绝的；绝种的,六级
afford,v. 付得起,六级
convince,v. 说服；使信服,雅思
distress,n. 痛苦；悲伤; vt. 使痛苦,四级
initiative,n.主动,雅思
bunch,n. 群；伙；束；串,四级
fatal,a. 致命的；重大的,四级
infectious,α. 传染的；传染性的,六级
exclusively,ad. 仅仅地,六级
limitation,n. 局限性；缺点,六级
talent,n. 才能；天资；人才,四级
decent,α. 体面的；像样的；还不错的,六级
outwardly,ad. 表面上；外表上地,六级
hoist,v. 举起；升起；吊起,六级
vanish,vi. 消灭；不见,四级
view,v. 视为；看做,六级
academy,n. （高等）专科院校；学会,四级
eliminate,v. 消除,六级
radical,a.根本的；激进的,四级
restrict,vt. 限制；约束,四级
victim,n. 牺牲品；受害者,四级
equivalent,α. 相等的,六级
virtual,adj.实质的；实际上的,雅思
facility,n. [pl.] 设备；设施；便利；方便,四级
pension,n. 养老金,六级
exclusively,ad. 仅仅地,六级
abundant,adj. 丰富的；大量的,雅思
base,v. 建立在……的基础上,六级
enroll,v. 使成为……的成员；注册,六级
petroleum,n. 石油,四级
ascend,v. 上升；攀登,六级
orchestra,n. 管弦乐队,四级
principal,a. 最重要的; n. 负责人；校长,四级
drift,v. 漂移；漂流,雅思
collaborate,v. 合著；合作,六级
intentionally,ad. 有意地；故意地,六级
pursue,vt. 追逐；追求；从事；进行,四级
subtle,α. 微妙的；精巧的；细微的,六级
advantage,n.优势； 利益,雅思
raw,α. 自然状态的；未加工的,六级
professional,a. 职业的；专门的,四级
transplant,v. 移植,四级
indicate,v. 指示；表明,雅思
venture,n. 风险投资；风险项目; v. 冒险；取于,四级
burden,n. 重担；负荷,四级
competition,n. 竞争；比赛,四级
triumphantly,ad. (欣喜)胜利地；成功地,六级
provide,v.提供,雅思
hamper,v. 妨碍；限制,六级
pursue,vt. 追逐；追求；从事；进行,四级
regulate,vt. 管理；调节,四级
trap,n. 陷阱；圈套 v. 设陷阱捕捉,四级
threshold,n. 开端；入口,六级
larva,n.幼虫,雅思
intrinsic,α. 固有的；本质的；内在的,六级
debate,n. 争论；辩论,六级
exploit,v. 剥削；利用；开采,四级
minority,n. 少数,六级
sustain,v. 维持；支撑,雅思
decay,vi. 腐烂；腐朽,四级
prohibit,vt. 禁止；不准,四级
semiconductor,n. 半导体,四级
transmit,v. 传播；播送；传递,四级
global,adj. 全球的；广泛的,雅思
abuse,v. 滥用；虐待；谩骂,四级
shrewd,α. 精明的,六级
routine,n. 常规；惯例；例行公事,六级
crucial,adj.至关紧要的,雅思
dealing,n.行为； 交易,雅思
supervise,v. 监督；管理,雅思
absolute,a. 绝对的；无条件的；完全的,四级
barrel,n. 桶,四级
sake,n. 缘故；理由,四级
expand,v. 扩展；扩张,雅思
ancient,adj.远古的；旧的,雅思
bureau,n. 局；办事处,四级
constant,a. 不变的；恒定的; n. 常数,四级
crash,v. (飞机)坠毁,六级
coincide,v. 相同；相一致,六级
resort,v. 求助；凭借；诉诸,六级
standard,n. 标准,六级
descend,v. 下落,六级
analogy,n. 相似；模拟；类比,六级
conservative,α. 保守的；传统的,六级
startlingly,ad. 惊人地,六级
simplicity,n. 简单；朴素,四级
rival,n. 竞争对手,六级
prescription,n. 处方,六级
hamper,v. 妨碍；限制,六级
triumphantly,ad. (欣喜)胜利地；成功地,六级
necessity,n. 必需品；必要性,四级
automatic,a. 自动的,四级
attract,v. 吸引；引起,雅思
inevitable,a. 不可避免的,四级
expensive,a. 花钱多的；价格高贵的,四级
extraordinary,adj.特别的,雅思
shortage,n. 短缺；不足,六级
inform,v.(～ of/about) 通知； 获悉,雅思
humor,n. 情绪；心境,六级
virus,n. 病毒,四级
prohibit,vt. 禁止；不准,四级
subsequent,a. 随后的；后来的,四级
optimize,v. 优化；改进,雅思
subtract,v. 减（去）,四级
reputation,n. 名声；声望,六级
fraction,n. 小部分；一点,六级
acknowledge,v. 承认；致谢,四级
wreck,v. (船只)失事,六级
likelihood,n. 可能；可能性,四级
pledge,n. 保证；誓言,六级
promote,v. 促进；提升,雅思
grieve,v. 使伤心；使悲伤,六级
arbitrary,a. 随意的；未断的,四级
burden,n. 重担；负荷,四级
architecture,n. 建筑学,四级
appropriate,adj. 适当的；恰当的,雅思
greasy,α. 油腻的,六级
surface,n. 表面,六级
abandon,v. 放弃；遗弃,雅思
aim,n.目标； 瞄准 v.对...瞄准； 打算,雅思
predecessor,n. 前任；原有的事物,六级
prompt,α. 即刻的；迅速的,六级
rescue,v. 营救；救援,六级
generate,v. 生成；产生,雅思
geometry,n. 几何（学）,四级
suspicious,a. 怀疑的；可疑的,四级
imaginative,α. 富有想象力的；爱想象的,六级
ruin,v. 毁坏；破坏 n. 毁灭；[pl.]废墟,四级
adjust,v. 调整；适应,雅思
enroll,v. 使成为……的成员；注册,六级
assign,v. 分派；指派(职务；任务),六级
applaud,v. 赞扬；称赞,六级
involve,v. 涉及；包含,雅思
candidate,n. 候选人,四级
deal,n.交易 vi.处理； 做生意 vt.分配； 分给(out),雅思
persuade,v. 说服；劝服,雅思
fragile,adj.易碎的； 脆的,雅思
bargain,n. 便宜货 vi. 讨价还价,四级
reputation,n. 名声；声望,六级
temple,n. 庙宇,四级
distribute,vt. 分发,四级
deliberately,ad. 深思熟虑地；审慎地,六级
verify,v. 证实；证明,六级
allege,v. 断言；宣称,六级
core,n. 果心；核心,四级
explode,v. 爆炸；爆发；激增,四级
wax,n. 蜡,四级
radiate,v. 辐射状发出；从中心向各方伸展出,六级
remain,v. 停留；依旧是,六级
shrink,vi. 起皱；收缩；退缩,四级
extinct,a. 绝灭的；熄灭的,四级
obedient,α. 服从的；顺从的,六级
removal,n. 除去；消除,四级
distinguish,vt. 区分；辨别,四级
transform,v. 转变；改变,雅思
conceive,v. 想出；设想,六级
continuous,a. 继续的；连续（不断）的,四级
standard,n. 标准,六级
thrust,v. 挤；推；插,四级
marvelous,a. 奇迹般的；惊人的,四级
appreciate,vt. 重视；赏识；欣赏,四级
foundation,n.基础； 建立； 基金,雅思
authority,n. 权威；当局,四级
feeding,n.吃； 输送 adj.给食的； 饲用的,雅思
professional,a. 职业的；专门的,四级
remarkable,a. 值得注意的；异常的；非凡的,四级
rate,n. 速度,六级
scan,vt. 细看；扫描；浏览,四级
distribute,vt. 分发,四级
attitude,n. 态度,四级
stable,a. 稳定的,四级
routine,n. 常规；惯例；例行公事,六级
emphasize,vt. 强调；着重,四级
strategy,n. 战略；策略,四级
foundation,n.基础； 建立； 基金,雅思
geography,n. 地理（学）,四级
weld,v./n. 焊接,四级
dive,vi. 跳水；潜水,四级
deaf,a. 聋的；不愿听的,四级
circulation,n. (书报等的)发行量,六级
identity,n. 身份；个性；特性,四级
vote,v. 选举; n. 选票,四级
emphasize,vt. 强调；着重,四级
interfere,v. 妨碍；干涉,雅思
relevant,α. 与……有关的,六级
auxiliary,a. 辅助的；备用的,四级
legislation,n. 立法；法律,六级
approve,v. 赞成；同意；批准,四级
bother,v. 打搅；麻烦,四级
route,n. 路；路线；航线,四级
tension,n. 紧张（状态）；张力,四级
breed,v. 培育；养育,六级
collide,v. 互撞；碰撞,六级
extinct,a. 绝灭的；熄灭的,四级
eliminate,v. 消除,六级
restrict,v. 限制；约束,雅思
individual,a. 个别的；单独的 n. 个人；个体,四级
stale,a. 不新鲜的；陈腐的,四级
vote,v. 选举; n. 选票,四级
anticipation,n. 预期；期望,六级
intricate,α. 复杂精细的,六级
reservation,n. 贮存；贮藏,六级
algebra,n. 代数,四级
global,adj. 全球的；广泛的,雅思
comprehend,v. 理解；领会,雅思
bewilder,v. 迷惑；弄糊涂,六级
reflection,n. 反映；表现,六级
advertise,v. 为...做广告,四级
regulate,vt. 管理；调节,四级
view,v. 视为；看做,六级
sustain,v. 维持；支撑,雅思
aware,a. 意识到,四级
religious,a. 宗教的,四级
participation,n. 参加；加入,六级
collector,n.收藏家； 征收者,雅思
spur,n./vt. 刺激；激励,四级
assign,v. 分派；指派(职务；任务),六级
view,v. 视为；看做,六级
expand,v. 扩展；扩张,雅思
tidy,a. 整洁的；整齐的,四级
information,n.通知； 信息,雅思
tension,n. 紧张（状态）；张力,四级
estimate,n. 估计,六级
tension,n. 紧张（状态）；张力,四级
previous,a. 先；前；以前的,四级
descend,v. 下来；下去,六级
comparable,a. (with to) 可比较的；类似的,四级
subsequent,adj. 随后的；继后的,雅思
comparable,a. (with to) 可比较的；类似的,四级
penalty,n. 制裁；惩罚,六级
assemble,v. 集合；聚集,六级
personality,n. 人格；人性,六级
vacant,a. 空的；未占用的,四级
ambitious,α.有雄心的；有抱负的,六级
offend,v. 冒犯；触犯,四级
aim,n.目标； 瞄准 v.对...瞄准； 打算,雅思
extinction,n .灭绝,六级
retain,vt. 保留；保持,四级
absolute,a. 绝对的；无条件的；完全的,四级
hierarchical,adj.分等级的,雅思
moral,a. 道德上的；有道德的,四级
potential,α. 可能的；潜在的,六级
simplify,vt. 简化,四级
insure,vt. 给...保险；保证；确保,四级
extraordinary,adj.特别的,雅思
spill,v. 溢出；溅出；倒出,四级
infectious,α. 传染的；传染性的,六级
optimize,v. 优化；改进,雅思
convince,v. 说服；使信服,雅思
initial,adj.最初的； 词首的 n.词首大写字母,雅思
enhance,v. 提高；增加,六级
advocate,n. 提倡者；拥护者,六级
intricate,α. 复杂精细的,六级
utilize,v. 利用；使用,雅思
appropriate,adj. 适当的；恰当的,雅思
purchase,v. 购买,雅思
select,v. 选择；挑选,雅思
transplant,v. 移植,四级
appoint,vt. 任命；委派,四级
rewarding,α. 值得的,六级
deaf,a. 聋的；不愿听的,四级
afford,v. 付得起,六级
barrier,n. 障碍；棚栏,四级
conform,v. 遵守；符合,雅思
crash,v. (飞机)坠毁,六级
alter,v. 改变；修改,雅思
enthusiasm,n. 热情；热心,四级
available,a. 现成可用的；可得到的,四级
slide,v. 滑动；滑落 n. 滑动；滑面；幻灯片,四级
agency,n. 代理商；经销商,四级
mainland,n. 大陆,四级
encounter,vt./n. 遭遇；遭到,四级
acquaint,v. 熟悉；认识,六级
scale,n. 大小；规模；等级；刻度,四级
deceive,v. 欺骗；哄骗,六级
abundant,adj. 丰富的；大量的,雅思
obligation,n (法律上或道义上的)责任,六级
substitute,v. 代替；替换,雅思
debate,n. 争论；辩论,六级
preside,v. 主持,六级
prospect,n. 前景；前途；景象,四级
distinguish,vt. 区分；辨别,四级
oppose,v. 反对；抵制,雅思
alter,v. 改变；修改,雅思
provision,n. [pl.] 给养；口粮；准备；设备；装置,四级
initiative,n.主动,雅思
hospitality,n. 友好款待；好客,六级
acquire,vt. 取得；获得；学到,四级
volunteer,n. 志愿者; v. 自愿（做）,四级
appropriate,adj. 适当的；恰当的,雅思
confront,v. 面对；面临,六级
expire,v. 到期；期满,六级
evoke,v. 引起；唤起,六级
pattern,n. 模式,六级
initiative,n.主动,雅思
principle,n. 原则；原理,四级
dominate,v. 统治；占据,六级
sustain,v. 维持；支撑,雅思
abundant,a. 丰富的；充裕的；大量的,四级
abnormal,α.不正常的,六级
nuisance,n. 损害；妨害；讨厌（的人或事物）,四级
transform,v. 转变；改变,雅思
